IDSCHOOL,ITSEX,ASRREA01,ASBG03,ASDG05S,ASBG05D,ASBG05E,ASDHOCCP,ASBH20A,ASBH20B,ASDHEDUP,ASBH17A,ASBH17B,ASDHAPS,ASBH04A,ASBH04B,ASBGHRL,ASBG04,ASBH15A,ASBHPLR,ASBH12,ASBH13A,ASBH13B,ASBH13C,ASBH13D,ASBH13E,ASBH13F,ASBH13G,ASBHELA,ASBH02A,ASBH02B,ASBH02C,ASBH02D,ASBH02E,ASBH02F,ASBH02G,ASBH02H,ASBH02I,ASBHELT,ASBH06A,ASBH06B,ASBH06C,ASBH06D,ASBH06E,ACDG03,ACBG03A,ACBG03B,ACDGELS,ACBG16A,ACBG16B,ACBG16C,ACBG16D,ACBG16E,ACDGCMP,ACBG02,ACBG07,ACDG06HY,ACBG06BA,ACBG06BB,ACBGRRS,ACBG10AA,ACBG10AB,ACBG10AC,ACBG10AD,ACBG10AE,ACBG10AF,ACBG10AG,ACBG10BA,ACBG10BB,ACBG10BC,ACBG10BD,ACBGEAS,ACBG12B,ACBG12C,ACBG12D,ACBG12E,ACBG12H,ACBGRSS,ACBG17D,ACBG17E,ACBG17F,ACBG17G,ACBG17H,ACBG17I,ACBG17J,ACBG17K,ACBG17L,ACBG17M,ACBG17N,ACBGDAS,ACBG13AA,ACBG13AB,ACBG13AC,ACBG13AD,ACBG13AE,ACBG13AF,ACBG13AG,ACBG13AH,ACBG13AI,ACBG13AJ,ASBGSBS,ASBG09A,ASBG09B,ASBG09C,ASBG09D,ASBG09E,ASBG09F,ASBGSLR,ASBR02A,ASBR02B,ASBR07A,ASBR07B,ASBR07C,ASBR07D,ASBR07E,ASBR07F,ASBGSMR,ASBR09A,ASBR09B,ASBR09C,ASBR09D,ASBR09E,ASBR09F,ASBGSCR,ASBR08A,ASBR08B,ASBR08C,ASBR08D,ASBR08E,ASBR08F,ASBR08G,ASBGERL,ASBR05A,ASBR05B,ASBR05C,ASBR05D,ASBR05E,ASBR05F,ASBR05G,ASBHENA,ASBH02J,ASBH02K,ASBH02L,ASBH02M,ASBH02N,ASBH02O,ASBHENT,ASBH07A,ASBH07B,ASBH07C,ASBH07D,ASBH07E,ASBH07F
1,2,469.77514,2,1,0,1,3,3,3,5,5,7,999999,1,999999,9.59128,1,3,8.31893,1,2,1,2,1,2,4,4,7.17111,2,1,3,1,3,1,1,1,2,4.8436,1,1,1,1,1,999999,999999,1,3,4,3,2,3,2,2,142,10,900,5,0,12.09869,1,1,2,1,1,1,1,1,2,1,2,9.44578,4,4,4,3,3,8.28554,1,2,2,2,3,4,4,4,4,999999,999999,13.16249,1,1,1,1,1,1,1,1,1,1,9.09792,4,1,1,1,4,1,8.11461,999999,999999,4,4,3,3,1,3,10.35004,3,4,4,4,4,4,8.09145,3,3,3,1,3,3,1,9.45792,3,1,4,1,4,3,4,9.1188,1,1,3,3,3,2,5.073,2,2,1,1,0,0
1,1,576.44256,3,2,1,1,1,10,11,5,8,5,4,1,5,11.0313,2,3,14.48509,4,1,4,4,1,4,4,4,9.79151,3,3,3,2,3,2,2,1,2,9.69685,4,2,2,4,2,999999,999999,1,3,4,3,2,3,2,2,142,10,900,5,0,12.09869,1,1,2,1,1,1,1,1,2,1,2,9.44578,4,4,4,3,3,8.28554,1,2,2,2,3,4,4,4,4,999999,999999,13.16249,1,1,1,1,1,1,1,1,1,1,11.4451,1,1,2,1,1,1,14.95609,4,4,1,4,4,1,4,4,10.35004,4,4,4,4,3,4,11.29688,4,4,1,4,3,4,1,14.3226,4,4,4,1,4,4,4,8.56196,2,1,3,3,1,2,8.22608,3,4,4,2,0,0
1,2,534.47442,3,2,1,1,2,2,2,4,6,5,2,1,1,11.0313,4,3,10.96593,4,1,3,4,2,3,4,4,8.91614,3,3,2,1,3,1,2,3,1,8.49059,3,2,1,3,2,999999,999999,1,3,4,3,2,3,2,2,142,10,900,5,0,12.09869,1,1,2,1,1,1,1,1,2,1,2,9.44578,4,4,4,3,3,8.28554,1,2,2,2,3,4,4,4,4,999999,999999,13.16249,1,1,1,1,1,1,1,1,1,1,8.81433,2,1,2,1,3,4,11.72951,4,4,1,2,4,1,4,4,7.31395,4,2,4,2,1,4,14.35923,4,4,1,4,1,4,1,8.64503,3,3,4,2,3,3,2,11.78847,3,2,999999,3,3,3,9.18672,3,4,4,3,1,0
1,1,474.24384,3,1,1,0,1,9,2,4,5,5,3,1,4,10.29048,2,3,14.48509,4,1,4,4,1,4,4,4,7.62199,2,2,2,2,3,1,2,1,1,10.56229,4,3,3,3,3,999999,999999,1,3,4,3,2,3,2,2,142,10,900,5,0,12.09869,1,1,2,1,1,1,1,1,2,1,2,9.44578,4,4,4,3,3,8.28554,1,2,2,2,3,4,4,4,4,999999,999999,13.16249,1,1,1,1,1,1,1,1,1,1,9.4029,3,1,1,1,2,3,12.71112,4,4,2,4,4,1,4,4,12.36856,4,4,4,4,4,4,11.29688,4,4,1,4,1,4,3,9.94478,4,4,3,4,4,4,4,6.09512,1,1,2,2,1,1,10.82603,4,4,4,999999,1,0
1,2,414.34433,3,2,1,1,3,6,3,3,3,4,3,1,2,9.59128,1,4,7.29735,3,3,2,1,4,2,3,3,8.91614,2,2,3,2,2,1,3,3,1,6.6026,2,1,1,2,1,999999,999999,1,3,4,3,2,3,2,2,142,10,900,5,0,12.09869,1,1,2,1,1,1,1,1,2,1,2,9.44578,4,4,4,3,3,8.28554,1,2,2,2,3,4,4,4,4,999999,999999,13.16249,1,1,1,1,1,1,1,1,1,1,7.48584,4,3,3,3,4,1,8.57567,1,1,4,2,4,1,4,4,10.35004,4,3,4,4,4,4,8.67056,4,3,3,4,3,4,4,8.64503,4,4,1,3,4,3,3,10.31064,2,3,2,3,3,2,6.33195,2,2,2,2,0,0
1,2,521.90787,3,2,1,1,1,10,12,5,7,7,2,1,1,11.46049,3,3,9.41589,3,1,3,3,2,2,4,3,10.36693,3,3,3,2,2,2,999999,2,3,8.49059,3,2,1,3,2,999999,999999,1,3,4,3,2,3,2,2,142,10,900,5,0,12.09869,1,1,2,1,1,1,1,1,2,1,2,9.44578,4,4,4,3,3,8.28554,1,2,2,2,3,4,4,4,4,999999,999999,13.16249,1,1,1,1,1,1,1,1,1,1,9.75018,2,1,2,1,2,2,9.59084,3,3,2,3,4,2,3,3,8.05171,3,3,999999,3,4,3,8.16635,3,2,999999,3,3,2,1,8.29776,3,3,1,4,4,4,4,10.31064,2,2,3,3,3,2,8.6522,3,4,4,2,1,0
1,2,552.19532,3,2,1,1,1,9,11,4,5,5,3,1,2,11.0313,3,3,10.07944,4,1,3,3,1,2,3,4,9.34812,3,2,2,2,3,2,2,2,2,7.16958,2,2,1,2,1,999999,999999,1,3,4,3,2,3,2,2,142,10,900,5,0,12.09869,1,1,2,1,1,1,1,1,2,1,2,9.44578,4,4,4,3,3,8.28554,1,2,2,2,3,4,4,4,4,999999,999999,13.16249,1,1,1,1,1,1,1,1,1,1,13.28372,1,1,1,1,1,1,14.95609,4,4,1,4,4,1,4,4,7.60735,1,3,4,3,4,3,9.6967,4,3,2,4,2,3,2,9.94478,2,2,4,1,4,4,4,8.56196,2,2,2,2,2,2,6.33195,2,2,2,2,0,0
1,2,497.11035,3,1,1,0,1,9,10,5,8,7,2,1,1,11.95416,4,4,10.48141,4,1,3,3,2,3,4,4,11.3162,3,3,3,3,3,2,2,3,2,9.69685,3,2,2,4,3,999999,999999,1,3,4,3,2,3,2,2,142,10,900,5,0,12.09869,1,1,2,1,1,1,1,1,2,1,2,9.44578,4,4,4,3,3,8.28554,1,2,2,2,3,4,4,4,4,999999,999999,13.16249,1,1,1,1,1,1,1,1,1,1,8.81433,1,1,2,2,3,4,8.12257,2,3,3,2,3,3,2,3,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,7.39451,2,2,3,4,4,3,2,11.93921,2,3,3,3,3,3,12.59388,4,4,4,4,1,1
1,2,579.09893,3,1,0,1,1,9,11,5,5,7,3,1,2,11.46049,3,4,9.12366,3,1,2,3,2,2,3,4,10.25429,2,3,2,3,3,2,2,3,2,9.69685,4,3,2,3,2,999999,999999,1,3,4,3,2,3,2,2,142,10,900,5,0,12.09869,1,1,2,1,1,1,1,1,2,1,2,9.44578,4,4,4,3,3,8.28554,1,2,2,2,3,4,4,4,4,999999,999999,13.16249,1,1,1,1,1,1,1,1,1,1,9.09792,1,1,4,2,3,1,9.31239,3,4,4,3,4,2,3,3,9.4022,2,4,4,4,4,4,8.67056,3,3,1,3,4,2,1,12.21043,4,4,4,1,4,4,3,9.1188,2,2,2,3,3,1,9.18672,3,4,4,4,0,0
1,1,635.57828,2,2,1,1,4,7,1,3,4,4,999999,1,999999,9.94316,3,4,9.73209,3,1,2,3,1,3,3,4,8.90598,2,1,1,999999,3,3,3,2,2,8.88807,3,2,2,3,2,999999,999999,1,3,4,3,2,3,2,2,142,10,900,5,0,12.09869,1,1,2,1,1,1,1,1,2,1,2,9.44578,4,4,4,3,3,8.28554,1,2,2,2,3,4,4,4,4,999999,999999,13.16249,1,1,1,1,1,1,1,1,1,1,9.4029,2,1,2,2,3,1,9.31239,3,4,1,2,4,3,2,3,10.35004,3,4,4,4,4,4,10.64149,4,4,1,2,1,3,1,9.94478,3,3,3,2,4,4,4,9.1188,2,3,2,3,1,2,12.59388,4,4,4,4,1,1
