id,schid,getalng,spirit,strict,fair,racefrnd,disrupt,tchgood,tchint,tchprais,putdown,studown,listen,feelsafe,impede,misbehav,private
175551,1755,2,2,3,2,2,2,2,2,2,3,3,2,3,2,2,0
266647,2666,2,2,2,3,4,2,2,3,3,3,3,4,3,3,3,0
642005,6420,2,2,2,2,1,2,2,3,3,3,4,2,4,3,3,0
651885,6518,2,2,1,1,2,1,1,2,2,4,4,2,4,3,2,0
673841,6738,2,1,2,2,2,1,2,1,1,4,4,1,4,3,3,0
700035,7000,2,2,3,2,1,2,2,4,2,4,3,2,3,2,3,0
701189,7011,2,2,3,2,1,2,3,2,2,3,4,2,3,3,2,0
704291,7042,4,4,1,4,2,2,3,2,4,1,1,4,4,4,4,0
708943,7089,2,2,2,2,2,2,2,2,2,4,3,2,3,2,3,0
708953,7089,2,3,2,3,2,2,3,2,3,3,2,2,4,3,3,0
710616,7106,2,1,2,3,2,2,1,3,2,3,2,3,4,2,2,0
710885,7108,2,2,3,2,2,3,2,2,3,3,3,2,3,3,3,0
710925,7109,2,2,1,3,2,1,1,2,3,3,3,2,1,3,2,0
710926,7109,2,1,3,2,2,3,2,2,2,3,3,2,4,3,3,0
710964,7109,2,2,2,2,2,2,2,2,3,3,3,3,4,2,2,0
710969,7109,2,2,3,2,2,3,1,1,1,4,4,2,4,2,2,0
714039,7140,2,2,2,2,3,2,2,2,2,3,3,2,3,3,2,0
715802,7158,3,2,1,3,2,1,4,3,2,2,3,3,4,2,1,0
715825,7158,3,1,1,3,2,3,3,3,3,2,2,2,4,3,4,0
718205,7182,2,2,2,2,2,1,2,3,4,3,4,4,3,2,1,0
719468,7194,2,2,3,3,3,2,2,1,2,4,2,2,4,3,2,0
721972,7219,2,2,1,3,2,2,3,3,2,3,4,2,4,4,3,0
733007,7330,2,2,2,2,2,2,2,2,1,4,3,2,3,3,2,0
733020,7330,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0
734003,7340,3,2,3,2,1,1,2,2,3,4,4,2,4,3,2,0
735645,7356,2,3,2,2,2,2,2,2,2,3,2,2,3,3,3,0
735738,7357,3,2,2,2,2,2,3,3,3,3,4,3,3,4,3,0
736937,7369,3,2,3,3,2,3,2,3,3,3,3,3,3,3,1,0
737315,7373,3,2,1,3,2,3,2,2,3,3,3,2,4,3,3,0
737330,7373,2,2,2,2,2,1,2,2,3,3,3,2,3,3,2,0
737369,7373,2,3,2,3,2,2,2,2,2,3,3,2,3,3,3,0
739080,7390,2,2,2,2,2,3,2,2,2,4,4,2,4,4,3,0
740398,7403,2,3,3,2,2,2,2,2,3,3,3,8,3,1,3,0
741520,7415,2,2,2,2,2,2,2,3,2,3,3,3,3,2,2,0
741525,7415,2,3,2,2,2,2,1,1,1,3,4,2,4,2,3,0
742243,7422,2,3,3,2,2,3,2,2,2,3,4,2,3,2,3,0
743186,7431,2,2,2,2,1,1,2,2,2,3,3,2,4,3,2,0
743471,7434,2,3,3,3,1,3,2,2,3,4,4,3,4,4,2,0
743526,7435,2,3,3,2,2,2,3,3,4,2,3,3,3,2,3,0
743936,7439,3,2,2,3,2,2,2,2,2,3,2,3,3,2,1,0
744038,7440,2,3,1,4,2,2,3,3,3,3,3,4,4,2,1,0
744056,7440,4,3,2,2,2,2,3,3,3,2,2,3,3,3,4,0
745453,7454,2,1,2,1,3,2,2,1,2,3,4,2,4,2,1,0
747568,7475,3,3,3,2,3,2,2,3,4,3,3,4,4,3,2,0
748103,7481,2,3,3,2,1,2,2,2,2,3,2,2,3,3,1,0
751497,7514,3,2,3,3,2,1,2,3,2,2,1,4,1,1,3,0
754793,7547,3,2,2,2,4,2,1,2,2,4,8,2,8,2,3,0
755772,7557,3,2,2,2,1,1,3,2,3,3,4,3,3,3,2,0
755775,7557,2,1,2,8,1,2,3,3,1,2,1,3,2,1,1,0
758457,7584,3,3,2,3,2,1,3,2,3,2,3,4,3,3,3,0
758648,7586,2,2,2,2,2,1,2,2,3,3,3,3,2,3,2,0
759387,7593,2,1,2,3,1,2,2,2,3,3,3,3,4,2,2,0
761639,7616,2,1,1,2,3,2,2,3,2,3,2,3,3,2,3,0
761697,7616,2,2,2,2,2,2,2,2,2,2,3,3,3,3,2,0
762258,7622,3,2,2,3,2,2,2,2,3,3,3,2,3,3,2,0
763087,7630,2,2,3,2,2,2,2,2,2,3,3,2,3,2,3,0
763193,7631,2,3,3,2,2,2,2,2,3,3,3,3,3,3,2,0
766811,7668,2,2,2,1,3,2,2,2,6,8,2,2,4,2,3,0
766820,7668,3,3,3,3,1,2,2,2,3,4,3,2,4,3,4,0
766889,7668,3,2,2,3,3,1,2,2,3,4,4,3,3,3,2,0
766973,7669,2,2,2,2,2,2,2,3,3,4,3,2,4,4,3,0
767103,7671,2,2,3,2,1,2,2,2,2,3,2,3,4,3,2,0
771895,7718,2,4,1,4,2,1,3,3,3,2,4,3,3,1,1,0
772607,7726,2,1,3,2,2,2,2,2,2,3,4,3,4,3,2,0
772610,7726,2,1,1,1,1,1,2,1,1,4,4,2,4,2,3,0
774066,7740,2,2,2,3,2,2,2,2,2,4,4,2,4,4,3,0
774099,7740,2,1,2,2,1,2,2,1,2,3,3,1,4,2,4,0
777221,7772,2,3,1,4,4,2,2,2,3,3,1,4,1,2,1,0
780352,7803,2,1,3,4,4,3,2,2,3,4,4,2,2,3,3,0
782227,7822,3,2,3,2,2,2,2,2,4,2,1,3,4,2,2,0
782287,7822,2,2,3,2,2,2,2,2,3,3,3,2,3,2,3,0
786245,7862,2,2,2,2,2,3,2,2,3,3,3,2,4,3,3,0
