scigrade6,understand,workhard,challenge,choice,makemeth,ownexp,scigrade10,ses,sciach,certsci
5,4,6,5,1,1,1,8,-0.322,26.79,1
5,4,3,3,3,3,3,5,-0.823,21.63,1
4,6,4,6,1,1,1,5,-0.14,21.83,0
4,3,5,5,1,1,1,5,-0.277,20.44,1
4,3,6,6,1,1,3,7,-0.257,16.58,1
5,3,4,5,2,2,2,6,-0.555,25.51,1
4,2,5,4,1,1,1,6,-0.015,30.18,1
3,6,5,6,4,1,1,4,0.26,16.51,1
4,6,5,6,2,1,1,4,0.176,27.26,1
3,5,2,2,1,2,1,4,0.137,23.72,0
2,6,6,4,1,1,1,8,-0.044,22.39,1
4,2,3,3,2,2,1,7,0.155,23.7,1
3,2,2,3,1,2,1,4,-0.255,19.82,1
3,6,5,5,1,1,1,2,0.829,28,0
4,2,5,4,1,1,1,6,-0.338,17.05,1
5,3,5,4,1,1,1,8,-0.389,18.26,0
3,3,4,4,1,1,1,5,1.328,26.35,0
3,6,5,6,1,1,1,5,-0.666,13.06,0
5,2,6,5,1,1,1,8,1.55,34.07,0
2,5,6,5,2,1,1,3,-0.967,11.09,0
5,5,5,6,3,1,1,8,1.437,32.77,0
2,6,6,6,1,1,1,2,-1.207,17.14,0
3,5,5,4,1,1,1,5,1.091,26.33,0
5,4,5,6,1,1,1,5,0.778,27.44,0
4,6,6,6,1,1,1,5,0.731,25.69,0
5,5,6,3,3,4,2,3,-0.464,18.6,0
5,5,3,3,1,1,1,6,0.279,25.83,0
5,6,6,6,1,4,1,6,-0.423,27.86,0
2,4,6,2,1,1,1,8,-0.096,16.6,1
4,6,6,6,1,1,1,8,-0.586,16.42,0
4,6,5,6,1,1,1,3,-0.099,20.82,0
5,6,5,4,2,3,3,7,1.038,29.21,0
5,6,6,6,1,1,1,6,1.716,29.14,0
4,4,3,2,3,1,1,8,1.37,33.22,0
5,3,6,5,1,2,2,7,0.875,27.86,0
5,3,6,5,1,3,4,7,-0.639,24.1,0
5,5,5,5,1,2,1,8,1.561,34.64,0
5,6,5,6,1,4,2,7,0.911,26.78,0
4,3,3,3,1,1,1,5,0.444,28.06,0
5,4,6,5,1,1,1,8,0.057,28,0
5,5,5,5,3,3,2,8,-0.584,33.77,0
5,4,6,5,1,1,1,8,0.822,30.87,0
5,6,6,4,3,2,2,8,0.395,26.56,0
5,4,6,6,1,1,1,8,0.667,20.08,0
3,3,5,5,1,3,3,5,1.47,17.91,0
3,6,6,5,4,2,3,5,0.1,25.69,0
4,5,4,2,1,1,1,7,0.369,32.68,0
4,4,5,6,1,1,2,7,0.642,28.11,1
5,5,6,6,1,1,1,6,0.197,27.14,1
4,5,6,5,1,2,1,7,0.43,31.4,1
4,6,5,5,1,3,1,4,0.499,20.86,0
5,6,5,5,3,3,3,8,-0.402,17.56,1
5,5,6,6,1,2,1,8,0.05,22.27,1
5,4,5,5,4,3,1,5,-0.627,21.81,0
5,5,6,6,2,2,3,8,-0.221,28.74,1
3,3,5,3,1,1,1,4,-1.492,12.02,0
4,4,6,5,1,1,1,5,-1.264,17.29,0
3,5,6,6,1,1,1,3,-0.889,16.91,0
5,4,5,6,1,1,1,8,0.661,22.7,1
3,4,5,4,1,1,1,5,0.155,20.69,1
3,6,5,5,1,1,1,7,-0.769,19.66,0
5,6,5,4,1,1,1,6,0.408,19.07,1
3,6,6,6,1,1,1,6,-1.862,18.38,1
5,5,6,5,1,2,1,8,0.161,26.84,0
4,3,5,4,1,1,1,7,-0.042,20.61,1
3,2,4,4,2,1,2,4,-0.306,15.92,0
4,3,6,4,1,1,1,4,0.261,18.42,0
5,3,6,6,1,1,1,8,-0.062,25.03,0
3,2,6,2,1,1,1,6,0.098,12.77,1
4,2,4,4,1,1,1,4,-0.818,24.67,1
5,1,1,1,1,1,1,8,0.063,15.14,1
4,2,4,2,1,1,1,2,0.36,11.27,0
4,5,6,5,3,1,1,8,-0.769,20.17,1
4,4,6,6,1,1,1,5,0.18,14.71,0
5,5,5,6,2,1,1,8,0.797,32.03,1
4,4,5,5,1,1,1,8,-0.209,32.84,0
5,3,2,4,1,1,1,5,1.053,29.63,0
4,5,5,6,1,1,1,3,0.26,13.85,1
5,6,5,6,1,1,1,7,0.86,30.6,1
5,5,6,6,1,1,1,8,0.333,23.22,1
4,4,5,5,1,1,1,5,-0.242,16.14,0
5,5,5,5,1,1,1,7,1.161,32.13,1
4,5,6,5,1,1,1,6,-0.423,14.56,0
3,6,6,6,1,1,1,2,0.055,19.55,1
3,6,6,6,1,1,1,4,0.524,22.04,1
5,2,6,4,1,1,1,5,-0.886,18.44,1
5,5,6,6,1,1,1,6,-0.281,24.14,1
3,3,5,6,3,2,1,5,-0.661,18.6,0
5,4,5,4,1,1,1,8,1.739,31.22,1
3,5,5,5,1,1,1,5,-0.712,13.49,1
