gender,readfk,mathfk,readsk,mathsk,readff,mathff,readsf,mathsf
0,36.58,39.54,49.37,50.1,50.91,62.72,87.32,96.04
0,50.82,44.44,83.5,58.93,135.8,65.29,155.63,76.33
0,40.68,28.57,40.41,32.81,41.65,53.44,78.09,64.1
1,34.72,26.62,42.06,34.37,45.42,34.73,85.32,79.47
0,38.28,40.88,50.4,38.86,56.4,48.56,87.74,64.08
1,32.57,23.57,34.14,35.25,43.46,44.87,55.64,45.41
1,31.98,19.65,32.84,23.6,46.48,41.47,59.83,38.54
0,50.45,36.27,64.13,53.31,89.95,74.22,132.11,96.92
1,32.49,20.82,38.52,29.09,43.54,30.66,73.21,45.47
0,33.3,26.85,36.72,32.22,44.61,55.21,70.18,61.06
0,65.92,47.36,84.61,59.89,106.62,76.02,127.92,100.46
1,62.43,62.32,99.43,78.65,105.42,113.39,125.74,112.37
1,34.2,22.27,39.87,27.44,47.13,48.11,101.55,73.09
1,38.8,32.57,49,53.96,50.16,51.38,86.21,62.5
1,26.77,15.97,32.86,21.97,38.51,24.54,43.2,43.5
1,48.32,40.94,50.6,48.69,57.69,48.12,85.82,68.88
0,43.01,33.26,46.24,35.24,51.26,51.29,66.48,66.84
0,27.85,20.32,33.9,28.91,39.32,32.69,58.56,63.66
0,27.9,20.23,43.24,31.35,51.46,41.23,73.6,56.75
0,32.44,23.7,40.93,31.04,56.35,38.11,108.46,65.43
0,27.81,18.64,39.6,25.58,53.03,38.59,71.11,43.55
1,33.34,22.53,45.35,31.06,47.83,36.33,76.63,59.46
1,32.05,20.27,40.36,23.57,37.21,41.03,58.38,48.38
1,26.85,25.83,33.15,34.26,34.26,48.97,49.24,48.84
0,30.77,22.93,36.65,32.67,38.21,34.93,52.84,53.35
1,32.96,21.4,37.47,30.99,46.11,37.66,88.84,71.65
1,27.46,13.92,29.66,18.8,42.29,25.57,46.71,33.66
0,43.8,34.63,51.26,40.13,53.72,48.68,73.98,60.41
1,36.67,33.24,36.7,37.2,52.69,51.03,70.22,75.96
0,37.42,29.9,46.36,39.68,47.33,27.16,73.85,46.9
0,38.71,25.87,47.36,46.5,49.48,44.41,65.94,58.74
1,36.05,27.04,43.43,42.97,40.59,57.02,66.98,76.49
1,30.98,30.43,40.15,33.61,46.85,43.95,85.76,58.9
0,30.73,25.25,44.35,38.75,48.82,35.43,59.63,61.21
0,85.91,44.52,120.88,53.18,130.15,48.18,149.83,93.95
1,28.97,21.08,38.83,33.25,51.85,40.12,57.85,66.35
0,30.01,24.71,40.1,35.71,43.13,41.77,68.2,54.54
1,33.47,32.3,44.08,51.85,50.69,60.73,78.98,66.85
1,28.02,20.98,41.49,28.5,43.73,32.19,64.46,33.13
0,36.8,28.95,42.94,42.17,45.96,38.15,87.34,72.46
0,27.24,18.14,46.18,34.73,50.31,59.45,77.29,60.58
0,35.25,29.41,53.71,46.53,64.78,48.43,72.99,56.01
0,30.56,21.03,43.36,32.57,50.54,28.95,76.41,48.29
1,24.67,16.35,29.85,29.25,39.05,37.6,72.63,52.03
0,33.75,17.46,45.1,28.05,48.94,35.69,67.4,51.67
0,35.04,27.45,50.78,38.42,49.7,38.86,66.08,56.95
1,27.76,25.85,46.74,36.5,42.98,46.33,64.14,77.85
0,25.48,17.62,42.59,25.24,44.27,40.48,63.89,39.1
1,35.82,27.5,51.13,40.39,56.91,40.8,87.94,60.5
1,27.38,20.95,47.19,40.06,51.48,36.39,73.54,43.94
1,26.06,13.05,39.33,28.45,49.03,32.13,65.74,47.3
1,28.18,13.48,48.33,31.21,56.66,34.73,65.45,41.87
0,24.91,14.02,30,16.66,31.27,26.02,50.55,45.7
0,23.93,17.59,48.31,38.28,45.96,32.69,76.29,53.91
0,23.57,15.65,42.95,28.83,53.1,33.54,59.37,40.62
1,23.93,18.19,39.01,29.31,42.47,28.9,58.97,48.18
0,24.97,12.38,26.37,17.28,30.72,17.87,40.48,27.61
1,23.64,12.45,27.82,12.81,27.57,14.82,26.33,18.69
0,25.7,18.65,40.05,30.69,46.55,38.84,68.45,55.39
1,24.3,15.28,27.15,27.7,31.82,27.23,62.84,46.33
1,23.21,11.74,40.83,21.63,44.61,31.29,40.96,54.6
0,24.38,17.34,34.57,23.11,40.47,28.27,51.54,36.5
0,32.38,22.12,36.31,27.62,51.46,38.65,84.51,56.87
1,26.4,19.31,37.67,23.86,32.61,27.62,39.27,35.68
1,40.55,33.97,49.72,42.03,47.34,41.08,66.19,92.61
0,39.73,27.35,48.93,37.89,50.47,38.98,72.69,44.52
1,37.23,40.17,50.27,61.34,69.18,75.01,105.91,94.66
0,32.88,19.79,39.73,27.62,45.25,34.85,50.16,46.67
1,25.55,13.36,28.34,29.21,36.22,42.44,48.05,52.86
1,31.15,22.22,44.35,38.97,48.74,42.63,65.97,59.51
0,35.26,30.7,38.69,35.91,45.42,42.45,71.03,55.88
